in s,C1 in V,C2 in V
-4.35846E-02,1.912E-01,7.082E-03
-4.35826E-02,2.302E-01,5.346E-03
-4.35805E-02,2.107E-01,6.090E-03
-4.35785E-02,1.521E-01,6.090E-03
-4.35765E-02,2.107E-01,6.090E-03
-4.35745E-02,1.521E-01,6.338E-03
-4.35725E-02,1.716E-01,6.338E-03
-4.35705E-02,1.130E-01,6.090E-03
-4.35684E-02,1.521E-01,6.834E-03
-4.35664E-02,1.912E-01,5.594E-03
-4.35644E-02,1.912E-01,6.090E-03
-4.35624E-02,1.912E-01,6.338E-03
-4.35604E-02,1.716E-01,6.338E-03
-4.35584E-02,1.716E-01,5.594E-03
-4.35564E-02,1.521E-01,6.090E-03
-4.35543E-02,1.521E-01,6.090E-03
-4.35523E-02,1.716E-01,5.594E-03
-4.35503E-02,1.716E-01,6.834E-03
-4.35483E-02,1.912E-01,5.842E-03
-4.35463E-02,1.716E-01,6.090E-03
-4.35443E-02,1.326E-01,5.594E-03
-4.35422E-02,1.521E-01,7.082E-03
-4.35402E-02,1.521E-01,6.090E-03
-4.35382E-02,1.130E-01,6.338E-03
-4.35362E-02,1.716E-01,6.090E-03
-4.35342E-02,1.912E-01,6.338E-03
-4.35322E-02,1.521E-01,5.594E-03
-4.35301E-02,1.716E-01,6.090E-03
-4.35281E-02,2.107E-01,6.090E-03
-4.35261E-02,1.716E-01,6.090E-03
-4.35241E-02,1.326E-01,6.338E-03
-4.35221E-02,1.912E-01,6.090E-03
-4.35201E-02,1.912E-01,6.586E-03
-4.35180E-02,1.912E-01,6.586E-03
-4.35160E-02,1.912E-01,6.338E-03
-4.35140E-02,2.302E-01,6.090E-03
-4.35120E-02,1.521E-01,6.090E-03
-4.35100E-02,1.326E-01,5.594E-03
-4.35080E-02,1.716E-01,5.594E-03
-4.35060E-02,1.912E-01,5.594E-03
-4.35039E-02,1.716E-01,5.842E-03
-4.35019E-02,1.326E-01,5.842E-03
-4.34999E-02,2.302E-01,6.090E-03
-4.34979E-02,7.398E-02,6.090E-03
-4.34959E-02,1.716E-01,5.594E-03
-4.34939E-02,1.716E-01,6.090E-03
-4.34918E-02,1.716E-01,6.090E-03
-4.34898E-02,1.912E-01,6.090E-03
-4.34878E-02,1.521E-01,5.346E-03
-4.34858E-02,2.302E-01,5.594E-03
-4.34838E-02,1.716E-01,6.338E-03
-4.34818E-02,1.326E-01,5.842E-03
-4.34797E-02,1.326E-01,5.842E-03
-4.34777E-02,1.912E-01,5.842E-03
-4.34757E-02,1.521E-01,5.594E-03
-4.34737E-02,1.912E-01,5.842E-03
-4.34717E-02,1.326E-01,5.842E-03
-4.34697E-02,2.302E-01,6.338E-03
-4.34676E-02,1.521E-01,6.090E-03
-4.34656E-02,2.107E-01,5.594E-03
-4.34636E-02,1.521E-01,6.338E-03
-4.34616E-02,2.302E-01,5.842E-03
-4.34596E-02,1.716E-01,5.842E-03
-4.34576E-02,1.716E-01,6.586E-03
-4.34556E-02,2.498E-01,5.594E-03
-4.34535E-02,1.912E-01,6.586E-03
-4.34515E-02,1.912E-01,6.090E-03
-4.34495E-02,1.716E-01,6.090E-03
-4.34475E-02,2.107E-01,6.586E-03
-4.34455E-02,1.912E-01,6.090E-03
-4.34435E-02,1.716E-01,6.090E-03
-4.34414E-02,1.716E-01,6.090E-03
-4.34394E-02,2.302E-01,6.338E-03
-4.34374E-02,1.912E-01,6.834E-03
-4.34354E-02,1.716E-01,5.346E-03
-4.34334E-02,1.912E-01,5.594E-03
-4.34314E-02,1.912E-01,6.090E-03
-4.34293E-02,1.130E-01,6.586E-03
-4.34273E-02,1.912E-01,6.586E-03
-4.34253E-02,7.398E-02,6.586E-03
-4.34233E-02,1.716E-01,6.090E-03
-4.34213E-02,1.912E-01,6.338E-03
-4.34193E-02,1.130E-01,6.090E-03
-4.34172E-02,1.716E-01,6.090E-03
-4.34152E-02,1.912E-01,5.842E-03
-4.34132E-02,1.326E-01,6.338E-03
-4.34112E-02,1.716E-01,5.098E-03
-4.34092E-02,1.521E-01,5.842E-03
-4.34072E-02,2.107E-01,6.090E-03
-4.34052E-02,2.107E-01,6.090E-03
-4.34031E-02,1.716E-01,5.346E-03
-4.34011E-02,1.912E-01,6.834E-03
-4.33991E-02,2.107E-01,6.090E-03
-4.33971E-02,1.521E-01,6.586E-03
-4.33951E-02,2.107E-01,5.594E-03
-4.33931E-02,1.326E-01,6.586E-03
-4.33910E-02,1.130E-01,6.090E-03
-4.33890E-02,2.107E-01,6.090E-03
-4.33870E-02,1.716E-01,6.090E-03
-4.33850E-02,1.912E-01,5.098E-03
-4.33830E-02,1.326E-01,6.090E-03
-4.33810E-02,1.912E-01,6.338E-03
-4.33789E-02,1.716E-01,6.090E-03
-4.33769E-02,1.912E-01,6.338E-03
-4.33749E-02,1.326E-01,6.338E-03
-4.33729E-02,1.130E-01,6.834E-03
-4.33709E-02,1.521E-01,5.842E-03
-4.33689E-02,2.302E-01,6.090E-03
-4.33668E-02,1.326E-01,6.090E-03
-4.33648E-02,1.912E-01,5.594E-03
-4.33628E-02,2.107E-01,6.338E-03
-4.33608E-02,1.716E-01,5.594E-03
-4.33588E-02,1.912E-01,6.586E-03
-4.33568E-02,1.326E-01,6.090E-03
-4.33548E-02,1.912E-01,5.594E-03
-4.33527E-02,1.716E-01,6.090E-03
-4.33507E-02,1.521E-01,5.842E-03
-4.33487E-02,1.716E-01,6.338E-03
-4.33467E-02,1.716E-01,6.338E-03
-4.33447E-02,1.521E-01,6.090E-03
-4.33427E-02,1.716E-01,5.098E-03
-4.33406E-02,1.716E-01,6.090E-03
-4.33386E-02,1.716E-01,6.586E-03
-4.33366E-02,1.912E-01,6.090E-03
-4.33346E-02,1.716E-01,5.594E-03
-4.33326E-02,1.130E-01,5.842E-03
-4.33306E-02,1.912E-01,5.098E-03
-4.33285E-02,2.302E-01,6.338E-03
-4.33265E-02,1.326E-01,6.090E-03
-4.33245E-02,1.912E-01,6.090E-03
-4.33225E-02,1.716E-01,6.090E-03
-4.33205E-02,1.716E-01,5.346E-03
-4.33185E-02,1.912E-01,6.090E-03
-4.33164E-02,1.912E-01,5.842E-03
-4.33144E-02,1.912E-01,5.842E-03
-4.33124E-02,1.521E-01,6.090E-03
-4.33104E-02,1.521E-01,6.338E-03
-4.33084E-02,1.912E-01,5.842E-03
-4.33064E-02,1.130E-01,6.090E-03
-4.33044E-02,9.352E-02,6.338E-03
-4.33023E-02,2.107E-01,6.834E-03
-4.33003E-02,1.912E-01,5.346E-03
-4.32983E-02,1.716E-01,5.594E-03
-4.32963E-02,1.130E-01,6.586E-03
-4.32943E-02,1.716E-01,5.346E-03
-4.32923E-02,2.107E-01,5.842E-03
-4.32902E-02,1.912E-01,6.338E-03
-4.32882E-02,1.912E-01,6.090E-03
-4.32862E-02,2.302E-01,6.586E-03
-4.32842E-02,1.326E-01,6.586E-03
-4.32822E-02,2.107E-01,5.842E-03
-4.32802E-02,1.521E-01,6.090E-03
-4.32781E-02,1.912E-01,6.090E-03
-4.32761E-02,2.107E-01,6.090E-03
-4.32741E-02,1.716E-01,6.090E-03
-4.32721E-02,2.107E-01,6.090E-03
